iteration,image,mode,startup_ms
1,alpine,warm,580.83
2,alpine,warm,557.59
3,alpine,warm,566.93
4,alpine,warm,534.88
5,alpine,warm,546.77
6,alpine,warm,545.93
7,alpine,warm,530.53
8,alpine,warm,573.02
9,alpine,warm,562.88
10,alpine,warm,565.68
11,alpine,warm,570.62
12,alpine,warm,571.37
13,alpine,warm,581.53
14,alpine,warm,599.27
15,alpine,warm,569.60
16,alpine,warm,579.06
17,alpine,warm,594.17
18,alpine,warm,580.23
19,alpine,warm,552.13
20,alpine,warm,550.79
21,alpine,warm,576.76
22,alpine,warm,596.68
23,alpine,warm,570.22
24,alpine,warm,628.86
25,alpine,warm,580.32
26,alpine,warm,578.80
27,alpine,warm,567.59
28,alpine,warm,568.30
29,alpine,warm,548.64
30,alpine,warm,555.05
31,alpine,warm,543.61
32,alpine,warm,563.11
33,alpine,warm,568.06
34,alpine,warm,567.59
35,alpine,warm,563.26
36,alpine,warm,557.76
37,alpine,warm,609.64
38,alpine,warm,598.18
39,alpine,warm,558.86
40,alpine,warm,565.58
41,alpine,warm,563.83
42,alpine,warm,574.32
43,alpine,warm,562.19
44,alpine,warm,535.30
45,alpine,warm,538.84
46,alpine,warm,550.30
47,alpine,warm,574.28
48,alpine,warm,580.30
49,alpine,warm,569.72
50,alpine,warm,551.25
1,alpine,cold,2124.83
2,alpine,cold,800.08
3,alpine,cold,809.59
4,alpine,cold,798.08
5,alpine,cold,764.24
6,alpine,cold,849.52
7,alpine,cold,761.71
8,alpine,cold,786.17
9,alpine,cold,779.17
10,alpine,cold,772.70
11,alpine,cold,775.40
12,alpine,cold,758.50
13,alpine,cold,768.20
14,alpine,cold,781.21
15,alpine,cold,780.65
16,alpine,cold,780.24
17,alpine,cold,792.66
18,alpine,cold,747.50
19,alpine,cold,795.83
20,alpine,cold,773.20
1,nginx,warm,742.88
2,nginx,warm,542.52
3,nginx,warm,547.39
4,nginx,warm,559.83
5,nginx,warm,583.46
6,nginx,warm,590.42
7,nginx,warm,596.94
8,nginx,warm,567.66
9,nginx,warm,591.67
10,nginx,warm,536.06
11,nginx,warm,547.35
12,nginx,warm,541.04
13,nginx,warm,547.77
14,nginx,warm,564.69
15,nginx,warm,565.32
16,nginx,warm,536.82
17,nginx,warm,570.30
18,nginx,warm,578.59
19,nginx,warm,607.82
20,nginx,warm,557.62
21,nginx,warm,555.18
22,nginx,warm,571.68
23,nginx,warm,583.90
24,nginx,warm,524.04
25,nginx,warm,518.52
26,nginx,warm,561.09
27,nginx,warm,724.25
28,nginx,warm,552.34
29,nginx,warm,516.17
30,nginx,warm,555.25
31,nginx,warm,549.04
32,nginx,warm,519.93
33,nginx,warm,541.28
34,nginx,warm,580.68
35,nginx,warm,590.36
36,nginx,warm,585.88
37,nginx,warm,554.26
38,nginx,warm,552.25
39,nginx,warm,521.16
40,nginx,warm,568.61
41,nginx,warm,565.69
42,nginx,warm,528.53
43,nginx,warm,524.07
44,nginx,warm,512.89
45,nginx,warm,556.76
46,nginx,warm,539.07
47,nginx,warm,611.18
48,nginx,warm,567.55
49,nginx,warm,549.70
50,nginx,warm,536.02
1,nginx,cold,833.80
2,nginx,cold,821.44
3,nginx,cold,823.76
4,nginx,cold,823.41
5,nginx,cold,809.44
6,nginx,cold,838.02
7,nginx,cold,846.25
8,nginx,cold,842.68
9,nginx,cold,806.90
10,nginx,cold,796.36
11,nginx,cold,795.35
12,nginx,cold,782.57
13,nginx,cold,780.73
14,nginx,cold,795.20
15,nginx,cold,786.73
16,nginx,cold,784.72
17,nginx,cold,765.25
18,nginx,cold,763.52
19,nginx,cold,766.33
20,nginx,cold,821.49
1,python_3.11-slim,warm,617.72
2,python_3.11-slim,warm,571.70
3,python_3.11-slim,warm,545.82
4,python_3.11-slim,warm,558.17
5,python_3.11-slim,warm,553.28
6,python_3.11-slim,warm,567.45
7,python_3.11-slim,warm,548.93
8,python_3.11-slim,warm,539.31
9,python_3.11-slim,warm,602.89
10,python_3.11-slim,warm,551.38
11,python_3.11-slim,warm,554.19
12,python_3.11-slim,warm,568.13
13,python_3.11-slim,warm,530.45
14,python_3.11-slim,warm,530.40
15,python_3.11-slim,warm,535.65
16,python_3.11-slim,warm,556.07
17,python_3.11-slim,warm,538.55
18,python_3.11-slim,warm,555.71
19,python_3.11-slim,warm,539.53
20,python_3.11-slim,warm,520.76
21,python_3.11-slim,warm,517.55
22,python_3.11-slim,warm,606.48
23,python_3.11-slim,warm,564.80
24,python_3.11-slim,warm,598.82
25,python_3.11-slim,warm,557.17
26,python_3.11-slim,warm,566.73
27,python_3.11-slim,warm,545.50
28,python_3.11-slim,warm,572.95
29,python_3.11-slim,warm,537.99
30,python_3.11-slim,warm,545.59
31,python_3.11-slim,warm,537.73
32,python_3.11-slim,warm,515.32
33,python_3.11-slim,warm,532.69
34,python_3.11-slim,warm,550.39
35,python_3.11-slim,warm,549.31
36,python_3.11-slim,warm,528.56
37,python_3.11-slim,warm,542.59
38,python_3.11-slim,warm,535.88
39,python_3.11-slim,warm,545.43
40,python_3.11-slim,warm,558.59
41,python_3.11-slim,warm,555.86
42,python_3.11-slim,warm,551.17
43,python_3.11-slim,warm,563.35
44,python_3.11-slim,warm,575.06
45,python_3.11-slim,warm,538.60
46,python_3.11-slim,warm,571.07
47,python_3.11-slim,warm,545.18
48,python_3.11-slim,warm,578.71
49,python_3.11-slim,warm,560.35
50,python_3.11-slim,warm,542.86
1,python_3.11-slim,cold,776.34
2,python_3.11-slim,cold,806.49
3,python_3.11-slim,cold,765.75
4,python_3.11-slim,cold,784.24
5,python_3.11-slim,cold,758.39
6,python_3.11-slim,cold,788.68
7,python_3.11-slim,cold,778.85
8,python_3.11-slim,cold,796.77
9,python_3.11-slim,cold,825.02
10,python_3.11-slim,cold,779.77
11,python_3.11-slim,cold,799.91
12,python_3.11-slim,cold,782.85
13,python_3.11-slim,cold,794.96
14,python_3.11-slim,cold,809.04
15,python_3.11-slim,cold,786.44
16,python_3.11-slim,cold,788.20
17,python_3.11-slim,cold,817.55
18,python_3.11-slim,cold,823.75
19,python_3.11-slim,cold,782.11
20,python_3.11-slim,cold,777.70
