iteration,file_size_mb,copyup_ms
1,100,1360.18
2,100,1334.70
3,100,1313.92
4,100,1403.11
5,100,1358.38
6,100,1290.57
7,100,1403.97
8,100,1401.88
9,100,1368.73
10,100,1326.69
11,100,1405.39
12,100,1396.13
13,100,1385.67
14,100,1351.00
15,100,1400.02
16,100,1448.78
17,100,1402.67
18,100,1203.98
19,100,1308.48
20,100,1423.48
21,100,1375.86
22,100,1373.97
23,100,1397.28
24,100,1412.31
25,100,1308.72
26,100,1304.19
27,100,1379.19
28,100,1423.11
29,100,1380.89
30,100,1347.42
31,100,1443.54
32,100,1339.08
33,100,1423.96
34,100,1284.87
35,100,1317.54
36,100,1265.06
37,100,1366.52
38,100,1294.92
39,100,1370.45
40,100,1354.79
41,100,1310.56
42,100,1364.35
43,100,1162.44
44,100,1376.64
45,100,1347.42
46,100,1325.31
47,100,1340.99
48,100,1323.59
49,100,1288.50
50,100,1369.66
