iteration,target_pct,measured_pct,variance_pct
1,50.00,41.19,-8.81
2,50.00,57.96,7.96
3,50.00,60.16,10.16
4,50.00,57.52,7.52
5,50.00,66.71,16.71
6,50.00,64.09,14.09
7,50.00,55.65,5.65
8,50.00,61.85,11.85
9,50.00,59.06,9.06
10,50.00,59.97,9.97
11,50.00,62.87,12.87
12,50.00,60.75,10.75
13,50.00,61.02,11.02
14,50.00,60.85,10.85
15,50.00,65.45,15.45
16,50.00,59.68,9.68
17,50.00,61.59,11.59
18,50.00,63.92,13.92
19,50.00,60.60,10.60
20,50.00,57.64,7.64
21,50.00,61.68,11.68
22,50.00,64.38,14.38
23,50.00,59.05,9.05
24,50.00,59.91,9.91
25,50.00,62.10,12.10
26,50.00,60.38,10.38
27,50.00,60.51,10.51
28,50.00,61.05,11.05
29,50.00,67.88,17.88
30,50.00,59.76,9.76
31,50.00,65.11,15.11
32,50.00,58.46,8.46
33,50.00,63.56,13.56
34,50.00,64.08,14.08
35,50.00,59.43,9.43
36,50.00,57.90,7.90
37,50.00,61.67,11.67
38,50.00,57.39,7.39
39,50.00,60.39,10.39
40,50.00,61.50,11.50
41,50.00,64.03,14.03
42,50.00,60.28,10.28
43,50.00,56.30,6.30
44,50.00,59.12,9.12
45,50.00,58.06,8.06
46,50.00,61.90,11.90
47,50.00,60.52,10.52
48,50.00,61.25,11.25
49,50.00,59.54,9.54
50,50.00,60.46,10.46
