iteration,image,pull_time_ms
1,alpine,605.16
2,alpine,614.50
3,alpine,612.72
4,alpine,746.49
5,alpine,603.81
6,alpine,630.29
7,alpine,635.80
8,alpine,614.81
9,alpine,1331.89
10,alpine,592.26
1,nginx,3738.74
2,nginx,4286.87
3,nginx,4184.54
4,nginx,4943.95
5,nginx,4680.28
6,nginx,4687.73
7,nginx,4169.41
8,nginx,4125.56
9,nginx,4164.78
10,nginx,4303.29
1,python_3.11-slim,3026.24
2,python_3.11-slim,2953.45
3,python_3.11-slim,3039.94
4,python_3.11-slim,3052.53
5,python_3.11-slim,3100.39
6,python_3.11-slim,2985.21
7,python_3.11-slim,2976.79
8,python_3.11-slim,2960.75
9,python_3.11-slim,3054.71
10,python_3.11-slim,2974.36
