iteration,operation,duration_ms
1,namespace_create,21.77
2,namespace_create,7.75
3,namespace_create,7.48
4,namespace_create,7.70
5,namespace_create,9.65
6,namespace_create,7.51
7,namespace_create,7.68
8,namespace_create,7.69
9,namespace_create,7.50
10,namespace_create,7.55
11,namespace_create,7.34
12,namespace_create,7.46
13,namespace_create,7.55
14,namespace_create,7.64
15,namespace_create,7.26
16,namespace_create,7.82
17,namespace_create,8.67
18,namespace_create,9.01
19,namespace_create,7.70
20,namespace_create,7.06
21,namespace_create,8.04
22,namespace_create,7.01
23,namespace_create,7.29
24,namespace_create,7.13
25,namespace_create,7.50
26,namespace_create,7.20
27,namespace_create,7.51
28,namespace_create,7.64
29,namespace_create,7.72
30,namespace_create,7.43
31,namespace_create,7.55
32,namespace_create,7.49
33,namespace_create,7.67
34,namespace_create,7.35
35,namespace_create,7.47
36,namespace_create,8.65
37,namespace_create,7.87
38,namespace_create,7.64
39,namespace_create,7.52
40,namespace_create,7.52
41,namespace_create,7.67
42,namespace_create,7.68
43,namespace_create,7.41
44,namespace_create,8.02
45,namespace_create,7.69
46,namespace_create,7.46
47,namespace_create,7.26
48,namespace_create,7.16
49,namespace_create,8.12
50,namespace_create,7.55
