iteration,mode,avg_rtt_ms
1,bridge,2.046
1,host,1.981
2,bridge,2.046
2,host,2.075
3,bridge,2.165
3,host,2.044
4,bridge,2.095
4,host,2.028
5,bridge,2.158
5,host,2.139
6,bridge,2.161
6,host,1.925
7,bridge,1.942
7,host,2.009
8,bridge,2.013
8,host,1.902
9,bridge,2.021
9,host,1.970
10,bridge,2.079
10,host,2.130
11,bridge,1.984
11,host,2.101
12,bridge,2.091
12,host,1.975
13,bridge,2.163
13,host,2.074
14,bridge,2.018
14,host,1.981
15,bridge,2.078
15,host,2.088
16,bridge,2.042
16,host,2.008
17,bridge,2.027
17,host,2.122
18,bridge,2.011
18,host,1.951
19,bridge,2.201
19,host,2.096
20,bridge,2.041
20,host,1.957
21,bridge,2.032
21,host,1.931
22,bridge,2.031
22,host,1.999
23,bridge,2.046
23,host,1.983
24,bridge,2.128
24,host,2.047
25,bridge,2.066
25,host,2.081
26,bridge,2.218
26,host,2.033
27,bridge,2.081
27,host,1.945
28,bridge,2.090
28,host,2.059
29,bridge,2.122
29,host,2.034
30,bridge,2.080
30,host,1.966
31,bridge,2.106
31,host,2.179
32,bridge,2.143
32,host,2.251
33,bridge,2.185
33,host,1.964
34,bridge,2.022
34,host,1.978
35,bridge,2.148
35,host,2.042
36,bridge,2.076
36,host,2.113
37,bridge,2.165
37,host,2.021
38,bridge,2.088
38,host,2.019
39,bridge,2.205
39,host,2.092
40,bridge,2.130
40,host,2.097
41,bridge,2.127
41,host,2.146
42,bridge,2.037
42,host,2.117
43,bridge,2.135
43,host,2.071
44,bridge,2.164
44,host,2.035
45,bridge,2.085
45,host,2.099
46,bridge,2.118
46,host,2.417
47,bridge,2.138
47,host,1.939
48,bridge,2.114
48,host,2.009
49,bridge,2.036
49,host,2.047
50,bridge,2.140
50,host,2.025
