iteration,container_count,per_container_mem_mb,total_mem_mb
1,3,5.30,15.914
2,3,3.25,9.770
3,3,3.24,9.738
4,3,3.25,9.765
5,3,3.25,9.762
6,3,3.24,9.738
7,3,3.24,9.734
8,3,3.25,9.778
9,3,3.25,9.754
10,3,3.26,9.782
11,3,3.24,9.726
12,3,3.25,9.766
13,3,3.26,9.785
14,3,3.25,9.750
15,3,3.25,9.750
16,3,3.26,9.790
17,3,3.24,9.731
18,3,3.25,9.774
19,3,3.25,9.75
20,3,3.25,9.762
21,3,3.26,9.781
22,3,3.26,9.790
23,3,3.24,9.746
24,3,3.26,9.786
25,3,3.25,9.769
26,3,3.24,9.738
27,3,3.24,9.746
28,3,3.25,9.774
29,3,3.24,9.742
30,3,3.24,9.746
31,3,3.26,9.781
32,3,3.25,9.761
33,3,3.25,9.777
34,3,3.24,9.742
35,3,3.25,9.754
36,3,3.25,9.762
37,3,3.24,9.742
38,3,3.25,9.754
39,3,3.24,9.734
40,3,3.25,9.769
41,3,3.25,9.754
42,3,3.25,9.770
43,3,3.25,9.773
44,3,3.26,9.782
45,3,3.24,9.738
46,3,3.25,9.762
47,3,3.24,9.734
48,3,3.25,9.750
49,3,3.25,9.750
50,3,3.25,9.774
