iteration,file_size_mb,copyup_ms
1,100,2022.07
2,100,2094.35
3,100,2197.57
4,100,2124.86
5,100,2030.59
6,100,2314.91
7,100,1916.69
8,100,1770.46
9,100,1328.06
10,100,2079.78
11,100,1887.08
12,100,1816.59
13,100,1744.75
14,100,1824.45
15,100,1856.65
16,100,1743.01
17,100,2544.90
18,100,2663.43
19,100,1736.82
20,100,1732.72
21,100,1440.73
22,100,1659.24
23,100,1637.95
24,100,1810.81
25,100,1799.56
26,100,2028.57
27,100,1779.83
28,100,1961.79
29,100,1864.02
30,100,2078.95
31,100,2007.34
32,100,1882.91
33,100,2458.07
34,100,1854.03
35,100,1804.08
36,100,1704.17
37,100,1947.14
38,100,1698.60
39,100,1797.67
40,100,1872.65
41,100,1973.22
42,100,1629.76
43,100,1638.10
44,100,1686.04
45,100,1819.00
46,100,1812.73
47,100,1992.50
48,100,1887.78
49,100,1735.00
50,100,1750.02
