iteration,target_pct,measured_pct,variance_pct
1,50.00,32.81,-17.19
2,50.00,29.62,-20.38
3,50.00,31.77,-18.23
4,50.00,31.95,-18.05
5,50.00,38.45,-11.55
6,50.00,31.30,-18.70
7,50.00,30.95,-19.05
8,50.00,31.71,-18.29
9,50.00,30.77,-19.23
10,50.00,28.33,-21.67
11,50.00,28.42,-21.58
12,50.00,66.20,16.20
13,50.00,62.52,12.52
14,50.00,68.22,18.22
15,50.00,64.00,14.00
16,50.00,36.36,-13.64
17,50.00,65.99,15.99
18,50.00,51.71,1.71
19,50.00,43.29,-6.71
20,50.00,41.09,-8.91
21,50.00,47.23,-2.77
22,50.00,16.72,-33.28
23,50.00,39.50,-10.50
24,50.00,44.30,-5.70
25,50.00,67.59,17.59
26,50.00,64.32,14.32
27,50.00,60.96,10.96
28,50.00,35.42,-14.58
29,50.00,64.23,14.23
30,50.00,64.18,14.18
31,50.00,66.13,16.13
32,50.00,62.38,12.38
33,50.00,70.22,20.22
34,50.00,39.21,-10.79
35,50.00,36.43,-13.57
36,50.00,63.89,13.89
37,50.00,18.15,-31.85
38,50.00,73.07,23.07
39,50.00,38.60,-11.40
40,50.00,34.44,-15.56
41,50.00,49.72,-.28
42,50.00,40.24,-9.76
43,50.00,29.03,-20.97
44,50.00,63.69,13.69
45,50.00,48.60,-1.40
46,50.00,60.49,10.49
47,50.00,66.73,16.73
48,50.00,70.37,20.37
49,50.00,66.58,16.58
50,50.00,62.81,12.81
