iteration,mode,write_speed_mbps
1,overlayfs,1.3
1,volume,1.4
2,overlayfs,1.3
2,volume,139.7
3,overlayfs,1.3
3,volume,138.3
4,overlayfs,1.4
4,volume,136.1
5,overlayfs,1.3
5,volume,135.8
6,overlayfs,1.3
6,volume,133.2
7,overlayfs,1.4
7,volume,142.8
8,overlayfs,1.3
8,volume,138.0
9,overlayfs,1.4
9,volume,136.6
10,overlayfs,1.4
10,volume,137.9
11,overlayfs,1.2
11,volume,138.6
12,overlayfs,1.4
12,volume,134.1
13,overlayfs,1.1
13,volume,136.1
14,overlayfs,1.4
14,volume,96.2
15,overlayfs,1.2
15,volume,202.1
16,overlayfs,1.3
16,volume,135.2
17,overlayfs,1.3
17,volume,141.9
18,overlayfs,1.3
18,volume,141.9
19,overlayfs,1.3
19,volume,137.7
20,overlayfs,1.3
20,volume,136.6
21,overlayfs,1.4
21,volume,131.4
22,overlayfs,1.3
22,volume,136.8
23,overlayfs,1.3
23,volume,136.4
24,overlayfs,1.4
24,volume,138.2
25,overlayfs,1.3
25,volume,208.8
26,overlayfs,1.1
26,volume,139.8
27,overlayfs,1.3
27,volume,134.0
28,overlayfs,1.4
28,volume,140.6
29,overlayfs,1.3
29,volume,137.8
30,overlayfs,1.4
30,volume,133.4
31,overlayfs,1.3
31,volume,133.8
32,overlayfs,1.4
32,volume,140.8
33,overlayfs,1.1
33,volume,135.8
34,overlayfs,1.3
34,volume,134.3
35,overlayfs,1.3
35,volume,141.8
36,overlayfs,959.9
36,volume,137.8
37,overlayfs,1.4
37,volume,134.0
38,overlayfs,1.3
38,volume,141.4
39,overlayfs,1.4
39,volume,135.0
40,overlayfs,1.3
40,volume,142.4
41,overlayfs,1.3
41,volume,138.0
42,overlayfs,1.3
42,volume,133.5
43,overlayfs,1.3
43,volume,133.5
44,overlayfs,1.4
44,volume,135.5
45,overlayfs,1.4
45,volume,137.2
46,overlayfs,1.4
46,volume,136.4
47,overlayfs,1.3
47,volume,135.7
48,overlayfs,1.3
48,volume,138.2
49,overlayfs,1.4
49,volume,135.1
50,overlayfs,1.4
50,volume,95.1
