iteration,image,pull_time_ms
1,alpine,600.69
2,alpine,608.36
3,alpine,522.79
4,alpine,517.33
5,alpine,506.78
6,alpine,828.84
7,alpine,509.56
8,alpine,696.54
9,alpine,482.32
10,alpine,818.54
1,nginx,5617.07
2,nginx,5408.90
3,nginx,6069.75
4,nginx,5411.14
5,nginx,6739.21
6,nginx,5406.27
7,nginx,8028.13
8,nginx,5354.79
9,nginx,5919.92
10,nginx,5305.41
1,python_3.11-slim,4314.16
2,python_3.11-slim,4104.85
3,python_3.11-slim,4080.07
4,python_3.11-slim,4296.44
5,python_3.11-slim,4204.39
6,python_3.11-slim,4432.12
7,python_3.11-slim,4323.17
8,python_3.11-slim,4098.70
9,python_3.11-slim,4296.72
10,python_3.11-slim,4246.24
