iteration,operation,duration_ms
1,namespace_create,10.98
2,namespace_create,7.08
3,namespace_create,7.06
4,namespace_create,7.28
5,namespace_create,7.01
6,namespace_create,7.15
7,namespace_create,7.08
8,namespace_create,7.47
9,namespace_create,7.12
10,namespace_create,7.22
11,namespace_create,7.25
12,namespace_create,8.56
13,namespace_create,7.40
14,namespace_create,7.14
15,namespace_create,7.30
16,namespace_create,7.33
17,namespace_create,7.18
18,namespace_create,7.11
19,namespace_create,7.10
20,namespace_create,7.19
21,namespace_create,7.15
22,namespace_create,7.15
23,namespace_create,7.20
24,namespace_create,7.00
25,namespace_create,13.21
26,namespace_create,12.99
27,namespace_create,7.27
28,namespace_create,11.35
29,namespace_create,14.15
30,namespace_create,14.69
31,namespace_create,14.47
32,namespace_create,14.57
33,namespace_create,7.14
34,namespace_create,14.93
35,namespace_create,7.19
36,namespace_create,7.11
37,namespace_create,7.13
38,namespace_create,7.10
39,namespace_create,7.07
40,namespace_create,7.14
41,namespace_create,7.10
42,namespace_create,7.08
43,namespace_create,7.09
44,namespace_create,7.21
45,namespace_create,7.18
46,namespace_create,12.45
47,namespace_create,7.13
48,namespace_create,7.21
49,namespace_create,7.20
50,namespace_create,7.91
