iteration,mode,avg_rtt_ms
1,bridge,2.019
1,host,1.874
2,bridge,1.874
2,host,1.760
3,bridge,1.796
3,host,1.758
4,bridge,1.831
4,host,1.663
5,bridge,1.852
5,host,1.749
6,bridge,1.825
6,host,1.821
7,bridge,1.843
7,host,1.688
8,bridge,1.784
8,host,1.797
9,bridge,1.802
9,host,1.798
10,bridge,1.809
10,host,1.812
11,bridge,1.840
11,host,1.733
12,bridge,1.859
12,host,1.741
13,bridge,1.873
13,host,1.786
14,bridge,1.822
14,host,1.784
15,bridge,1.823
15,host,1.871
16,bridge,1.791
16,host,1.819
17,bridge,1.843
17,host,2.072
18,bridge,1.818
18,host,1.714
19,bridge,1.857
19,host,1.767
20,bridge,1.835
20,host,1.704
21,bridge,1.817
21,host,1.718
22,bridge,1.967
22,host,1.790
23,bridge,1.955
23,host,1.719
24,bridge,1.898
24,host,1.793
25,bridge,1.887
25,host,1.757
26,bridge,1.847
26,host,2.051
27,bridge,1.851
27,host,1.752
28,bridge,1.882
28,host,1.758
29,bridge,1.881
29,host,1.999
30,bridge,1.843
30,host,1.793
31,bridge,2.005
31,host,1.838
32,bridge,1.847
32,host,1.828
33,bridge,1.862
33,host,1.709
34,bridge,1.775
34,host,1.836
35,bridge,2.592
35,host,1.926
36,bridge,1.808
36,host,1.791
37,bridge,1.822
37,host,1.879
38,bridge,1.885
38,host,1.758
39,bridge,1.809
39,host,1.846
40,bridge,1.837
40,host,1.944
41,bridge,1.798
41,host,1.771
42,bridge,1.924
42,host,1.826
43,bridge,1.828
43,host,1.922
44,bridge,1.861
44,host,1.788
45,bridge,1.870
45,host,1.796
46,bridge,1.800
46,host,1.834
47,bridge,2.058
47,host,1.689
48,bridge,1.857
48,host,1.819
49,bridge,1.866
49,host,1.821
50,bridge,1.912
50,host,1.793
