iteration,container_count,per_container_mem_mb,total_mem_mb
1,3,5.30,15.918
2,3,3.25,9.758
3,3,3.25,9.778
4,3,3.25,9.750
5,3,3.25,9.766
6,3,3.25,9.778
7,3,3.25,9.762
8,3,3.25,9.766
9,3,3.25,9.754
10,3,3.25,9.770
11,3,3.25,9.774
12,3,3.25,9.754
13,3,3.25,9.750
14,3,3.24,9.722
15,3,3.24,9.738
16,3,3.25,9.758
17,3,3.25,9.770
18,3,3.26,9.786
19,3,3.25,9.773
20,3,3.25,9.754
21,3,3.24,9.742
22,3,3.24,9.746
23,3,3.25,9.758
24,3,3.25,9.754
25,3,3.25,9.762
26,3,3.25,9.762
27,3,3.25,9.754
28,3,3.25,9.778
29,3,3.25,9.766
30,3,3.25,9.773
31,3,3.26,9.782
32,3,3.25,9.762
33,3,3.25,9.778
34,3,3.23,9.714
35,3,3.25,9.758
36,3,3.25,9.750
37,3,3.25,9.758
38,3,3.25,9.750
39,3,3.25,9.769
40,3,3.25,9.766
41,3,3.24,9.742
42,3,3.25,9.774
43,3,3.25,9.754
44,3,3.26,9.782
45,3,3.25,9.758
46,3,3.25,9.750
47,3,3.25,9.778
48,3,3.24,9.742
49,3,3.25,9.750
50,3,3.25,9.770
