iteration,image,mode,startup_ms
1,alpine,warm,832.78
2,alpine,warm,727.47
3,alpine,warm,772.77
4,alpine,warm,872.87
5,alpine,warm,1438.17
6,alpine,warm,1096.75
7,alpine,warm,2062.87
8,alpine,warm,2303.24
9,alpine,warm,1334.91
10,alpine,warm,1391.77
11,alpine,warm,1772.95
12,alpine,warm,1288.06
13,alpine,warm,1362.10
14,alpine,warm,1388.61
15,alpine,warm,1046.39
16,alpine,warm,2978.32
17,alpine,warm,1637.68
18,alpine,warm,1184.36
19,alpine,warm,1130.54
20,alpine,warm,1090.86
21,alpine,warm,1996.17
22,alpine,warm,1266.31
23,alpine,warm,1325.95
24,alpine,warm,2230.81
25,alpine,warm,1491.16
26,alpine,warm,1790.68
27,alpine,warm,1221.43
28,alpine,warm,1815.48
29,alpine,warm,1402.17
30,alpine,warm,2950.21
31,alpine,warm,1648.20
32,alpine,warm,1269.51
33,alpine,warm,1578.31
34,alpine,warm,1498.83
35,alpine,warm,2619.49
36,alpine,warm,1875.54
37,alpine,warm,1050.08
38,alpine,warm,1319.58
39,alpine,warm,1893.90
40,alpine,warm,1230.62
41,alpine,warm,989.58
42,alpine,warm,1304.63
43,alpine,warm,1783.23
44,alpine,warm,1425.98
45,alpine,warm,2275.61
46,alpine,warm,1587.74
47,alpine,warm,1305.26
48,alpine,warm,1384.21
49,alpine,warm,1712.34
50,alpine,warm,1448.03
1,alpine,cold,614.56
2,alpine,cold,843.18
3,alpine,cold,642.25
4,alpine,cold,749.64
5,alpine,cold,549.08
6,alpine,cold,788.24
7,alpine,cold,752.30
8,alpine,cold,758.93
9,alpine,cold,844.69
10,alpine,cold,911.39
11,alpine,cold,747.51
12,alpine,cold,706.51
13,alpine,cold,662.79
14,alpine,cold,564.01
15,alpine,cold,757.74
16,alpine,cold,669.81
17,alpine,cold,744.05
18,alpine,cold,857.40
19,alpine,cold,554.19
20,alpine,cold,749.19
1,nginx,warm,2086.42
2,nginx,warm,1340.83
3,nginx,warm,1751.03
4,nginx,warm,1599.02
5,nginx,warm,1821.89
6,nginx,warm,2628.08
7,nginx,warm,2286.74
8,nginx,warm,1993.49
9,nginx,warm,2106.71
10,nginx,warm,1516.53
11,nginx,warm,1240.29
12,nginx,warm,1249.31
13,nginx,warm,1131.35
14,nginx,warm,1460.29
15,nginx,warm,1785.01
16,nginx,warm,3144.32
17,nginx,warm,1096.17
18,nginx,warm,1330.14
19,nginx,warm,2928.24
20,nginx,warm,1228.68
21,nginx,warm,1229.75
22,nginx,warm,1982.36
23,nginx,warm,1970.33
24,nginx,warm,2086.17
25,nginx,warm,1574.33
26,nginx,warm,1492.06
27,nginx,warm,3143.80
28,nginx,warm,1586.10
29,nginx,warm,1501.52
30,nginx,warm,2557.00
31,nginx,warm,2035.87
32,nginx,warm,1549.48
33,nginx,warm,1282.26
34,nginx,warm,1801.68
35,nginx,warm,2663.73
36,nginx,warm,1591.33
37,nginx,warm,2204.10
38,nginx,warm,1576.85
39,nginx,warm,1623.13
40,nginx,warm,3089.35
41,nginx,warm,1367.28
42,nginx,warm,1548.25
43,nginx,warm,2636.41
44,nginx,warm,1284.09
45,nginx,warm,1597.44
46,nginx,warm,1233.59
47,nginx,warm,2597.72
48,nginx,warm,2315.94
49,nginx,warm,1673.80
50,nginx,warm,1978.13
1,nginx,cold,1205.83
2,nginx,cold,925.93
3,nginx,cold,726.79
4,nginx,cold,1376.47
