iteration,mode,write_speed_mbps
1,overlayfs,155.9
1,volume,206.2
2,overlayfs,136.6
2,volume,460.1
3,overlayfs,83.7
3,volume,237.3
4,overlayfs,206.6
4,volume,190.5
5,overlayfs,204.0
5,volume,300.2
6,overlayfs,140.3
6,volume,259.0
7,overlayfs,268.3
7,volume,207.4
8,overlayfs,205.0
8,volume,230.7
9,overlayfs,212.0
9,volume,264.6
10,overlayfs,265.4
10,volume,201.0
11,overlayfs,284.4
11,volume,217.1
12,overlayfs,274.4
12,volume,154.8
13,overlayfs,314.7
13,volume,223.3
14,overlayfs,241.2
14,volume,168.0
15,overlayfs,358.5
15,volume,203.2
16,overlayfs,350.7
16,volume,180.2
17,overlayfs,355.0
17,volume,172.0
18,overlayfs,176.7
18,volume,300.8
19,overlayfs,250.2
19,volume,176.3
20,overlayfs,294.8
20,volume,226.9
21,overlayfs,205.5
21,volume,258.7
22,overlayfs,197.5
22,volume,207.6
23,overlayfs,188.8
23,volume,289.8
24,overlayfs,223.1
24,volume,257.9
25,overlayfs,170.9
25,volume,207.2
26,overlayfs,437.8
26,volume,171.9
27,overlayfs,220.7
27,volume,186.1
28,overlayfs,308.1
28,volume,197.7
29,overlayfs,327.6
29,volume,235.6
30,overlayfs,299.6
30,volume,244.4
31,overlayfs,235.1
31,volume,218.8
32,overlayfs,220.0
32,volume,264.2
33,overlayfs,231.6
33,volume,286.1
34,overlayfs,246.5
34,volume,264.4
35,overlayfs,238.1
35,volume,313.1
36,overlayfs,211.9
36,volume,341.7
37,overlayfs,247.4
37,volume,182.8
38,overlayfs,252.9
38,volume,252.1
39,overlayfs,290.3
39,volume,212.4
40,overlayfs,314.0
40,volume,270.2
41,overlayfs,353.9
41,volume,224.5
42,overlayfs,232.1
42,volume,228.3
43,overlayfs,227.5
43,volume,271.3
44,overlayfs,227.2
44,volume,220.3
45,overlayfs,155.1
45,volume,323.0
46,overlayfs,310.3
46,volume,274.7
47,overlayfs,221.2
47,volume,210.8
48,overlayfs,294.9
48,volume,137.2
49,overlayfs,310.5
49,volume,209.9
50,overlayfs,199.7
50,volume,171.2
