iteration,image,pull_time_ms
1,alpine,1653.25
2,alpine,1109.79
3,alpine,1078.09
4,alpine,1008.82
5,alpine,1068.18
6,alpine,1030.00
7,alpine,1049.90
8,alpine,1082.53
9,alpine,999.31
10,alpine,1029.08
1,nginx,2640.02
2,nginx,3169.37
3,nginx,2384.96
4,nginx,2745.27
5,nginx,3714.46
6,nginx,3254.43
7,nginx,2692.30
8,nginx,2603.20
9,nginx,3018.55
10,nginx,3356.40
1,python_3.11-slim,2567.09
2,python_3.11-slim,2230.30
3,python_3.11-slim,2143.54
4,python_3.11-slim,3102.90
5,python_3.11-slim,2912.72
6,python_3.11-slim,2033.15
7,python_3.11-slim,2085.14
8,python_3.11-slim,2272.54
9,python_3.11-slim,2898.38
10,python_3.11-slim,3243.15
