iteration,mode,avg_rtt_ms
1,bridge,51.315
1,host,53.920
2,bridge,23.195
2,host,45.468
3,bridge,64.170
3,host,50.473
4,bridge,45.191
4,host,38.027
5,bridge,19.086
5,host,24.240
6,bridge,21.748
6,host,43.808
7,bridge,45.943
7,host,21.453
8,bridge,34.333
8,host,37.218
9,bridge,32.694
9,host,35.159
10,bridge,21.775
10,host,23.946
11,bridge,32.627
11,host,39.485
12,bridge,18.950
12,host,20.186
13,bridge,42.977
13,host,20.327
14,bridge,30.294
14,host,20.777
15,bridge,42.230
15,host,20.625
16,bridge,40.194
16,host,45.980
17,bridge,54.113
17,host,40.442
18,bridge,45.658
18,host,23.050
19,bridge,40.317
19,host,20.862
20,bridge,22.458
20,host,20.684
21,bridge,26.650
21,host,28.309
22,bridge,23.351
22,host,33.465
23,bridge,42.087
23,host,36.338
24,bridge,65.007
24,host,43.169
25,bridge,33.448
25,host,21.684
26,bridge,38.964
26,host,39.147
27,bridge,24.237
27,host,18.592
28,bridge,20.200
28,host,19.661
29,bridge,22.867
29,host,18.030
30,bridge,43.863
30,host,41.312
31,bridge,38.066
31,host,24.187
32,bridge,26.146
32,host,54.009
33,bridge,19.854
33,host,45.098
34,bridge,20.203
34,host,40.864
35,bridge,19.501
35,host,20.519
36,bridge,30.267
36,host,31.858
37,bridge,37.526
37,host,29.867
38,bridge,50.620
38,host,64.192
39,bridge,37.243
39,host,19.574
40,bridge,50.113
40,host,20.623
41,bridge,22.873
41,host,21.968
42,bridge,47.378
42,host,18.259
43,bridge,20.230
43,host,25.192
44,bridge,28.691
44,host,24.121
45,bridge,25.162
45,host,65.198
46,bridge,43.676
46,host,58.396
47,bridge,25.229
47,host,19.340
48,bridge,19.973
48,host,43.469
49,bridge,54.261
49,host,20.442
50,bridge,26.091
50,host,42.379
