iteration,container_count,per_container_mem_mb,total_mem_mb
1,3,7.39,22.180
2,3,7.33,22.001
3,3,7.30,21.926
4,3,7.35,22.063
5,3,7.34,22.024
6,3,7.36,22.094
7,3,7.33,21.993
8,3,7.34,22.028
9,3,7.37,22.129
10,3,7.33,22.012
11,3,7.30,21.926
12,3,7.32,21.965
13,3,7.31,21.958
14,3,7.32,21.961
15,3,7.34,22.024
16,3,7.30,21.915
17,3,7.34,22.028
18,3,7.33,22.012
19,3,7.35,22.059
20,3,7.35,22.051
21,3,7.34,22.024
22,3,7.36,22.086
23,3,7.34,22.024
24,3,7.35,22.051
25,3,7.34,22.047
26,3,7.34,22.028
27,3,7.37,22.125
28,3,7.32,21.961
29,3,7.32,21.981
30,3,7.35,22.063
31,3,7.35,22.059
32,3,7.32,21.989
33,3,7.31,21.954
34,3,7.32,21.988
35,3,7.33,21.993
36,3,7.31,21.957
37,3,7.32,21.989
38,3,7.32,21.989
39,3,7.34,22.028
40,3,7.34,22.028
41,3,7.32,21.985
42,3,7.34,22.043
43,3,7.31,21.957
44,3,7.31,21.957
45,3,7.31,21.958
46,3,7.34,22.020
47,3,7.36,22.094
48,3,7.37,22.133
49,3,7.34,22.027
50,3,7.34,22.028
